time,entity,timestamp,vibration_min,vibration_max,vibration_mean,vibration_median,vibration_stddev,belt_speed_min,belt_speed_max,belt_speed_mean,belt_speed_median,belt_speed_stddev,good_count,reject_count,reject_count_1m,reject_goal,good_count_1m,record_purpose
900000,Assy_Conveyor,4/23/2019 1:53,0.900116026,1.099996448,1.001190433,1.006383538,0.071731072,2475.01123,2524.861084,2499.470186,2497.925537,17.67684799,9534,16859,0,0,17,training
960000,Assy_Conveyor,4/23/2019 1:54,0.900000215,1.099074841,1.002046276,0.999581188,0.069647406,2475.013428,2524.977295,2499.107738,2498.901611,17.78012399,9552,16859,0,0,18,training
1020000,Assy_Conveyor,4/23/2019 1:55,0.900184393,1.099828124,1.001144033,1.009086013,0.069353055,2475.755371,2524.997559,2500.878242,2497.995117,17.59176543,9569,16859,0,0,17,training
1080000,Assy_Conveyor,4/23/2019 1:56,0.902886569,1.099828124,1.00341423,1.014193773,0.068192963,2477.780518,2524.997559,2500.472896,2495.50415,17.483968,9586,16859,0,0,17,training
1140000,Assy_Conveyor,4/23/2019 1:57,0.901264131,1.099912286,1.002807209,1.014090121,0.069350602,2475.005127,2524.997559,2499.512322,2497.143799,17.73818093,9603,16859,0,0,17,training
1200000,Assy_Conveyor,4/23/2019 1:58,0.900079191,1.097113371,0.99711439,1.013986468,0.070572942,2475.005127,2522.219482,2499.124341,2504.495605,17.42473217,9620,16859,0,0,17,training
1260000,Assy_Conveyor,4/23/2019 1:59,0.900079191,1.097113371,0.999562371,1.013986468,0.069911672,2475.005127,2523.25708,2500.354958,2504.495605,17.51287507,9637,16859,0,0,17,training
1320000,Assy_Conveyor,4/23/2019 2:00,0.900079191,1.097113371,1.000810821,1.013986468,0.06987334,2475.005127,2523.25708,2497.947266,2502.855957,17.74935919,9655,16860,1,1,16,training
1380000,Assy_Conveyor,4/23/2019 2:01,0.900079191,1.097113371,0.998374567,1.006070018,0.07043879,2475.005127,2523.25708,2500.88463,2504.495605,17.81735985,9670,16860,0,0,17,training
1440000,Assy_Conveyor,4/23/2019 2:02,0.900079191,1.09030354,0.996571948,1.006070018,0.073244083,2475.080566,2522.929932,2499.464042,2502.855957,18.00810755,9686,16860,0,0,16,training
1500000,Assy_Conveyor,4/23/2019 2:03,0.900079191,1.09030354,0.99989282,1.006070018,0.072769645,2475.080566,2522.929932,2499.700729,2502.855957,17.82818333,9701,16860,0,0,15,training
1560000,Assy_Conveyor,4/23/2019 2:04,0.900079191,1.09030354,1.003218741,1.006070018,0.068305936,2475.080566,2523.25708,2500.043918,2505.334229,17.88877591,9718,16860,0,0,17,training
1620000,Assy_Conveyor,4/23/2019 2:05,0.900079191,1.09030354,1.003155164,1.006070018,0.070786629,2475.080566,2522.929932,2500.02569,2505.334229,17.86514475,9735,16860,0,0,17,training
1680000,Assy_Conveyor,4/23/2019 2:06,0.900079191,1.09030354,0.999605374,1.006070018,0.068977836,2475.080566,2522.929932,2499.864813,2505.334229,17.57077151,9752,16860,0,0,17,training
1740000,Assy_Conveyor,4/23/2019 2:07,0.900184393,1.097113371,1.002303097,1.003978252,0.065423028,2475.068359,2524.817871,2500.813694,2502.005127,17.63549275,9769,16860,0,0,17,training
1800000,Assy_Conveyor,4/23/2019 2:08,0.900000215,1.099978089,0.998768855,0.987001508,0.077860539,2475.008789,2524.798584,2500.821845,2501.613281,17.6436069,9783,16860,0,0,14,training
1860000,Assy_Conveyor,4/23/2019 2:09,0.90002656,1.099920869,1.001769287,1.02003783,0.081709861,2475.002441,2524.994873,2499.877054,2502.700195,18.20773556,9796,16860,0,0,13,training
1920000,Assy_Conveyor,4/23/2019 2:10,0.900021911,1.099978089,0.997796523,0.993929982,0.077778512,2475.201416,2524.994873,2498.805682,2496.67627,18.17403517,9805,16860,0,0,9,training
1980000,Assy_Conveyor,4/23/2019 2:11,0.90003705,1.099893808,1.002222672,0.989984989,0.077818087,2475.019043,2524.661377,2498.562552,2495.925781,17.4764828,9811,16860,0,0,6,training
2040000,Assy_Conveyor,4/23/2019 2:12,0.90002656,1.09997344,0.995743424,0.995826364,0.073803525,2475.122803,2524.919434,2500.060915,2499.87793,17.68355492,9819,16860,0,0,8,training
2100000,Assy_Conveyor,4/23/2019 2:13,0.900021911,1.099999785,1.002832303,1.010452867,0.074442933,2475.005127,2524.999756,2500.257661,2498.71106,18.06322206,9833,16860,0,0,14,training
2160000,Assy_Conveyor,4/23/2019 2:14,0.900368452,1.099943876,0.998881426,0.994766414,0.068452633,2475.086182,2524.870361,2500.61382,2500.279297,17.44201955,9849,16860,0,0,16,training
2220000,Assy_Conveyor,4/23/2019 2:15,0.900087714,1.099452138,1.002705853,1.000418901,0.0742123,2475.002441,2524.997559,2499.250144,2497.456299,17.86751753,9865,16860,0,0,16,training
2280000,Assy_Conveyor,4/23/2019 2:16,0.90000087,1.099912286,0.999745919,1.012325525,0.063795984,2475.093506,2524.892334,2501.243747,2502.318115,17.67186003,9880,16861,1,1,15,training
2340000,Assy_Conveyor,4/23/2019 2:17,0.900079191,1.099920869,0.997063022,0.987882376,0.070376218,2475.008789,2524.919434,2499.4323,2498.587646,17.75788608,9896,16861,0,0,15,training
2400000,Assy_Conveyor,4/23/2019 2:18,0.90000087,1.099699855,0.999201262,0.99769634,0.071376463,2475.14624,2524.877197,2499.836396,2499.015137,17.69984428,9909,16861,0,0,14,training
2460000,Assy_Conveyor,4/23/2019 2:19,0.900000215,1.099473834,0.99853106,0.995919794,0.067773299,2475.002441,2524.85376,2499.834832,2499.179932,17.95261912,9923,16861,0,0,14,training
2520000,Assy_Conveyor,4/23/2019 2:20,0.900063396,1.098801374,1.002644653,1.0063833,0.070029386,2475.029785,2524.980957,2499.736328,2502.349976,18.18934482,9932,16861,0,0,9,training
2580000,Assy_Conveyor,4/23/2019 2:21,0.901264131,1.099920869,0.996341324,0.996545017,0.068195632,2475.002441,2524.966553,2501.208707,2502.161621,17.60072464,9939,16862,1,1,7,training
2640000,Assy_Conveyor,4/23/2019 2:22,0.900087714,1.099828124,1.001283152,1.005860925,0.064932817,2475.510742,2524.999268,2499.733527,2499.651123,17.5809146,9948,16862,0,0,9,training
2700000,Assy_Conveyor,4/23/2019 2:23,0.900000215,1.098927259,0.998683217,1.004081786,0.073549461,2475.221924,2524.986572,2500.137052,2500.078491,18.08986052,9964,16862,0,0,16,training
2760000,Assy_Conveyor,4/23/2019 2:24,0.901198626,1.099936604,1.002011643,0.994452924,0.072568159,2475.019043,2524.970215,2500.352663,2501.378174,17.89439916,9973,16862,0,0,8,training
2820000,Assy_Conveyor,4/23/2019 2:25,0.900253415,1.0995363,1.001031974,0.995919794,0.069947239,2475,2524.999268,2500.526334,2501.333008,17.88276024,9987,16863,1,1,15,training
2880000,Assy_Conveyor,4/23/2019 2:26,0.90000087,1.099989295,1.001712569,1.006070018,0.077709283,2475.000244,2525,2499.810772,2498.397949,17.7033931,9995,16863,0,0,8,training
2940000,Assy_Conveyor,4/23/2019 2:27,0.90000087,1.09999907,1.002841557,1,0.069412034,2475.002441,2524.919434,2499.610036,2497.456299,18.10274902,10009,16863,0,0,14,training
3000000,Assy_Conveyor,4/23/2019 2:28,0.900079191,1.09997344,0.996646775,0.984100908,0.072126614,2475.093506,2524.457275,2499.733115,2499.808105,17.55161515,10023,16863,0,0,14,training
3060000,Assy_Conveyor,4/23/2019 2:29,0.90197289,1.099815607,1.002635664,0.989755452,0.069397511,2475.008789,2524.931396,2500.055875,2499.336914,17.49889986,10034,16863,0,0,11,training
3120000,Assy_Conveyor,4/23/2019 2:30,0.905631423,1.099017024,1.006583714,1.004500866,0.064414581,2475.182129,2524.997559,2499.450578,2498.935547,17.76137311,10050,16863,0,0,16,training
3180000,Assy_Conveyor,4/23/2019 2:31,0.900000215,1.099920869,0.998271685,0.993929982,0.079405261,2475.005127,2524.997559,2499.787584,2499.258423,18.08175094,10068,16863,0,0,18,training
3240000,Assy_Conveyor,4/23/2019 2:32,0.900003493,1.099731445,1.000514054,0.987258911,0.074758302,2475.212891,2524.977295,2499.243056,2497.605835,17.60751596,10083,16863,0,0,15,training
3300000,Assy_Conveyor,4/23/2019 2:33,0.900253415,1.09999454,0.99953831,0.97605601,0.077623594,2475.016357,2524.99292,2501.287628,2499.720703,17.88469809,10092,16863,0,0,9,training
3360000,Assy_Conveyor,4/23/2019 2:34,0.900010765,1.099943876,1.003680806,1.025122643,0.080758012,2475.001465,2524.999756,2500.12047,2495.744873,17.7245729,10101,16863,0,0,9,training
3420000,Assy_Conveyor,4/23/2019 2:35,0.900010765,1.09999907,1.001425946,0.991423547,0.075146813,2475.099609,2524.999756,2499.350706,2497.681885,17.83021959,10116,16863,0,0,15,training
3480000,Assy_Conveyor,4/23/2019 2:36,0.900056124,1.099996448,0.997775654,1.001466036,0.077013906,2475.001465,2524.998535,2500.45634,2502.708374,17.42480887,10126,16863,0,0,10,training
3540000,Assy_Conveyor,4/23/2019 2:37,0.900043011,1.099594712,0.996666994,0.996649623,0.070716771,2475.001465,2524.948486,2498.635086,2498.23877,17.47504033,10140,16863,0,0,14,training
3600000,Assy_Conveyor,4/23/2019 2:38,0.903571963,1.099956989,1.007030009,0.998324573,0.062190686,2475.057129,2524.999756,2498.871001,2500.279297,17.58571339,10148,16863,0,0,8,training
3660000,Assy_Conveyor,4/23/2019 2:39,0.900736928,1.09997344,0.996144797,0.983942986,0.068150649,2475.000732,2524.919434,2500.400845,2496.987793,18.32753839,10162,16863,0,0,14,training
3720000,Assy_Conveyor,4/23/2019 2:40,0.900063396,1.099789262,0.996385392,0.989246726,0.07368892,2475.243408,2524.980957,2499.994873,2500.156982,17.71784991,10173,16863,0,0,11,training
3780000,Assy_Conveyor,4/23/2019 2:41,0.900010765,1.09999907,1.006997413,1.037007093,0.073769365,2475.005127,2524.931396,2499.104071,2497.995117,17.90210444,10189,16863,0,0,16,training
3840000,Assy_Conveyor,4/23/2019 2:42,0.90000087,1.0995363,1.000517157,1.002931714,0.070694984,2475.000732,2525,2500.429734,2501.490723,18.23685641,10205,16863,0,0,16,training
3900000,Assy_Conveyor,4/23/2019 2:43,0.900253415,1.099956989,1.002369951,1.006695867,0.071788502,2475.003662,2524.861084,2499.653588,2500.593262,17.99019176,10216,16863,0,0,11,training
3960000,Assy_Conveyor,4/23/2019 2:44,0.900003493,1.09999454,0.996755445,0.988922477,0.075789654,2475,2524.999268,2499.832156,2499.092773,17.94434766,10225,16863,0,0,9,training
4020000,Assy_Conveyor,4/23/2019 2:45,0.900043011,1.099884033,0.99874551,0.987986833,0.071836053,2475.001465,2524.998535,2499.568004,2498.082031,17.9180109,10239,16863,0,0,14,training
4080000,Assy_Conveyor,4/23/2019 2:46,0.900405228,1.09996295,1.002515523,1.010869384,0.073130173,2475.173828,2524.98877,2499.596836,2500.907471,17.73402103,10249,16863,0,0,10,training
4140000,Assy_Conveyor,4/23/2019 2:47,0.900897026,1.099746585,1.008871179,1.004815221,0.068707049,2475.00708,2524.47168,2499.533108,2500.355835,18.14258653,10264,16863,0,0,15,training
4200000,Assy_Conveyor,4/23/2019 2:48,0.900615454,1.099862933,1.00007599,0.986635983,0.072159265,2475.000244,2524.98877,2498.887759,2498.238892,17.74914708,10279,16863,0,0,15,training
4260000,Assy_Conveyor,4/23/2019 2:49,0.900021911,1.097545743,1.000239358,0.995711386,0.065223307,2475.068359,2524.942871,2499.998144,2499.022949,17.69683606,10296,16863,0,0,17,training
4320000,Assy_Conveyor,4/23/2019 2:50,0.900087714,1.099828124,0.998615681,0.995815396,0.073055455,2475.002441,2524.906494,2500.748825,2501.848389,17.76392708,10313,16863,0,0,17,training
4380000,Assy_Conveyor,4/23/2019 2:51,0.900547802,1.099699855,1.000636333,0.99769634,0.068686965,2475,2525,2501.182301,2505.180908,17.81906884,10323,16863,0,0,10,training
4440000,Assy_Conveyor,4/23/2019 2:52,0.900087714,1.09999907,1.0004006,1.003870428,0.075434044,2475,2524.999756,2499.731916,2499.651123,17.90944003,10332,16863,0,0,9,training
4500000,Assy_Conveyor,4/23/2019 2:53,0.900087714,1.099985957,1.002232837,1.007950306,0.077046811,2475.002441,2524.997559,2499.125226,2499.493896,17.48504556,10344,16863,0,0,12,training
4560000,Assy_Conveyor,4/23/2019 2:54,0.900484085,1.09997344,1.000875181,1.011701703,0.07146733,2475.000732,2524.952881,2500.614941,2502.351929,17.68579499,10355,16864,1,1,11,training
4620000,Assy_Conveyor,4/23/2019 2:55,0.90002656,1.099884033,1.002855366,1.025354624,0.077227169,2475.008789,2524.999756,2500.530338,2502.474121,17.89201674,10366,16864,0,0,11,training
4680000,Assy_Conveyor,4/23/2019 2:56,0.900405228,1.099943876,0.999425275,1.011493683,0.068220594,2475.07373,2524.92627,2500.795917,2501.996216,18.28986387,10382,16864,0,0,16,training
4740000,Assy_Conveyor,4/23/2019 2:57,0.900000215,1.09997344,1.000907261,0.997071981,0.071883789,2475.000732,2524.991455,2499.034302,2496.322388,17.65046273,10397,16864,0,0,15,training
4800000,Assy_Conveyor,4/23/2019 2:58,0.90003705,1.099851727,1.004448494,0.999790549,0.067761714,2475.233643,2524.962158,2498.986402,2501.221191,17.82642596,10412,16864,0,0,15,training
4860000,Assy_Conveyor,4/23/2019 2:59,0.900000215,1.099999785,1.00140361,0.991006255,0.081218296,2475.00708,2524.99292,2500.759627,2504.100586,17.94137299,10422,16864,0,0,10,training
4920000,Assy_Conveyor,4/23/2019 3:00,0.900000215,1.099912286,0.998426192,0.993094385,0.070240762,2475.013428,2524.986572,2500.452531,2501.848389,17.88999782,10440,16864,0,0,18,training
4980000,Assy_Conveyor,4/23/2019 3:01,0.902738631,1.098599553,1.007716443,1.016673923,0.067120353,2475.005127,2524.997559,2500.419212,2501.368774,18.12040194,10452,16864,0,0,12,training
5040000,Assy_Conveyor,4/23/2019 3:02,0.900137067,1.099862933,1.000095495,0.998535812,0.070543976,2475.000244,2524.948486,2500.551978,2504.606445,17.8759252,10467,16864,0,0,15,training
5100000,Assy_Conveyor,4/23/2019 3:03,0.900592446,1.099999785,1.006353949,1.01253289,0.065767932,2475.379883,2524.672852,2500.617998,2502.161621,17.92134561,10480,16864,0,0,13,training
5160000,Assy_Conveyor,4/23/2019 3:04,0.90000087,1.09999907,0.995608604,0.985919327,0.070971198,2475.107666,2524.999756,2500.704951,2499.921387,17.6212391,10489,16864,0,0,9,training
5220000,Assy_Conveyor,4/23/2019 3:05,0.900056124,1.099631548,0.999535338,0.984051824,0.06105706,2475.000244,2524.861084,2500.014207,2498.545044,17.89318292,10506,16864,0,0,17,training
5280000,Assy_Conveyor,4/23/2019 3:06,0.900056124,1.099989295,1.001074964,0.98518455,0.077333913,2475.001465,2524.913818,2498.927556,2496.325317,18.01681147,10519,16865,1,1,13,training
5340000,Assy_Conveyor,4/23/2019 3:07,0.90003705,1.098068357,0.997384864,0.983323097,0.067857451,2475.138672,2524.996094,2500.924776,2501.134033,17.51328057,10534,16865,0,0,15,training
5400000,Assy_Conveyor,4/23/2019 3:08,0.90002656,1.09999907,1.0014793,1.002094269,0.076081538,2475,2524.999268,2500.175053,2497.369385,17.86516386,10551,16865,0,0,17,training
5460000,Assy_Conveyor,4/23/2019 3:09,0.900137067,1.099746585,0.99884856,0.979849309,0.079007327,2475.173828,2524.999756,2501.638865,2501.917969,17.61921911,10558,16865,0,0,7,training
5520000,Assy_Conveyor,4/23/2019 3:10,0.900003493,1.09996295,1.003795754,1.019149423,0.078826325,2475.01123,2524.996094,2499.652208,2498.82959,17.91979579,10572,16865,0,0,14,training
5580000,Assy_Conveyor,4/23/2019 3:11,0.900106132,1.099893808,1.007512036,1.003559709,0.071576778,2475.029785,2524.980957,2498.951073,2500.279053,17.43995974,10583,16865,0,0,11,training
5640000,Assy_Conveyor,4/23/2019 3:12,0.90000087,1.099699855,0.997349708,0.996649623,0.06690447,2475.099609,2524.997559,2500.183778,2500.12207,17.91277203,10600,16865,0,0,17,training
5700000,Assy_Conveyor,4/23/2019 3:13,0.900184393,1.09997344,0.999541045,1.000418901,0.075583277,2475.093506,2524.994873,2500.22059,2499.729614,17.87003461,10617,16865,0,0,17,training
5760000,Assy_Conveyor,4/23/2019 3:14,0.900300086,1.09999907,0.998544416,0.992258489,0.073103393,2475.093506,2524.85376,2499.205289,2502.543701,18.21603692,10634,16865,0,0,17,training
5820000,Assy_Conveyor,4/23/2019 3:15,0.911282778,1.09999907,0.999247766,0.992258489,0.069156932,2475.107666,2523.053223,2500.331208,2502.543701,17.87412062,10651,16865,0,0,17,training
5880000,Assy_Conveyor,4/23/2019 3:16,0.911282778,1.09999907,0.998978757,0.992258489,0.071220011,2475.107666,2523.907715,2498.823882,2502.543701,17.88827254,10668,16866,1,1,17,training
5940000,Assy_Conveyor,4/23/2019 3:17,0.911282778,1.09999907,0.997264942,0.992258489,0.068338424,2475.107666,2523.907715,2500.669467,2502.543701,18.14176773,10684,16866,0,0,16,training
6000000,Assy_Conveyor,4/23/2019 3:18,0.911282778,1.09999907,0.999508971,0.992258489,0.069446784,2475.107666,2523.907715,2499.910245,2502.543701,18.10606697,10701,16867,1,1,17,training
6060000,Assy_Conveyor,4/23/2019 3:19,0.911282778,1.09999907,1.000449262,0.992258489,0.069662891,2475.107666,2523.907715,2500.214681,2502.543701,17.91426593,10718,16867,0,0,17,training
6120000,Assy_Conveyor,4/23/2019 3:20,0.911282778,1.09999907,0.997967587,0.992258489,0.069051124,2475.107666,2523.907715,2499.983446,2502.543701,18.07590569,10735,16867,0,0,17,training
6180000,Assy_Conveyor,4/23/2019 3:21,0.911282778,1.09999907,1.000637279,0.992258489,0.073081959,2475.107666,2523.907715,2499.052246,2505.0271,18.0443188,10752,16867,0,0,17,training
6240000,Assy_Conveyor,4/23/2019 3:22,0.911282778,1.09999907,1.001971394,0.992258489,0.071416765,2475.107666,2523.907715,2501.05957,2505.0271,18.20054726,10769,16867,0,0,17,training
6300000,Assy_Conveyor,4/23/2019 3:23,0.911282778,1.09999907,0.999209452,0.992258489,0.070734963,2475.107666,2523.053223,2499.0428,2502.543701,17.85297329,10787,16867,0,0,18,training
6360000,Assy_Conveyor,4/23/2019 3:24,0.911282778,1.09999907,0.997491502,0.992258489,0.068569215,2475.107666,2523.053223,2499.813228,2502.543701,18.03203383,10803,16867,0,0,16,training
6420000,Assy_Conveyor,4/23/2019 3:25,0.902099013,1.09999907,0.999187684,0.992258489,0.070011069,2475.107666,2523.907715,2499.134531,2500.034912,17.68782986,10821,16867,0,0,18,training
6480000,Assy_Conveyor,4/23/2019 3:26,0.902099013,1.09999907,0.999681391,0.992258489,0.070689043,2475.107666,2523.053223,2499.422511,2502.543701,17.97985202,10838,16867,0,0,17,training
6540000,Assy_Conveyor,4/23/2019 3:27,0.911282778,1.09999907,0.998307493,0.992258489,0.06716639,2475.107666,2523.907715,2500.076922,2502.543701,17.82661232,10855,16867,0,0,17,training
6600000,Assy_Conveyor,4/23/2019 3:28,0.911282778,1.09999907,0.999495951,0.992258489,0.070405733,2475.107666,2523.053223,2500.036391,2502.543701,17.6150719,10872,16867,0,0,17,training
6660000,Assy_Conveyor,4/23/2019 3:29,0.902099013,1.09999907,1.003697507,0.989547133,0.073075065,2475.107666,2523.907715,2501.302974,2502.543701,17.59079226,10888,16867,0,0,16,training
6720000,Assy_Conveyor,4/23/2019 3:30,0.900300086,1.09999907,0.998879217,0.989547133,0.076522779,2475.107666,2524.489502,2500.03035,2502.543701,17.76472931,10903,16867,0,0,15,training
6780000,Assy_Conveyor,4/23/2019 3:31,0.900300086,1.096145391,0.999323204,1.017708421,0.072144663,2475.436279,2524.870361,2500.337094,2500.191895,18.41760097,10918,16867,0,0,15,training
6840000,Assy_Conveyor,4/23/2019 3:32,0.900300086,1.099237561,1.001138923,1.017708421,0.074625093,2475.436279,2524.489502,2500.543701,2500.191895,17.99873631,10934,16867,0,0,16,training
6900000,Assy_Conveyor,4/23/2019 3:33,0.900300086,1.099237561,0.998361857,0.994989038,0.070916531,2475.436279,2524.85376,2500.428042,2500.191895,18.06270802,10951,16867,0,0,17,training
6960000,Assy_Conveyor,4/23/2019 3:34,0.90250057,1.096646547,0.997337674,0.987674475,0.0687747,2475.436279,2523.861328,2499.57185,2500.191895,17.8622504,10966,16867,0,0,15,training
7020000,Assy_Conveyor,4/23/2019 3:35,0.90250057,1.096646547,0.996995015,0.987674475,0.068221664,2475.436279,2523.861328,2499.861061,2500.191895,17.69335264,10982,16867,0,0,16,training
7080000,Assy_Conveyor,4/23/2019 3:36,0.900300086,1.096646547,1.001315492,1.017708421,0.073335087,2475.436279,2524.489502,2500.308428,2500.191895,17.80730032,10998,16867,0,0,16,training
7140000,Assy_Conveyor,4/23/2019 3:37,0.900300086,1.096646547,1.000630064,1.017708421,0.073206518,2475.436279,2524.489502,2500.968953,2500.191895,17.74522074,11015,16867,0,0,17,training
7200000,Assy_Conveyor,4/23/2019 3:38,0.900300086,1.096646547,1.001015553,1.017708421,0.075448307,2475.436279,2524.489502,2499.917648,2500.191895,18.18948391,11033,16867,0,0,18,training
7260000,Assy_Conveyor,4/23/2019 3:39,0.90250057,1.096646547,1.000177817,1.017708421,0.071964445,2475.436279,2524.489502,2499.682546,2500.191895,18.01517221,11049,16867,0,0,16,training
7320000,Assy_Conveyor,4/23/2019 3:40,0.90250057,1.096646547,1.002857031,1.017708421,0.069224234,2475.436279,2524.489502,2499.961286,2500.191895,17.84540123,11064,16867,0,0,15,training
7380000,Assy_Conveyor,4/23/2019 3:41,0.90250057,1.096646547,1.003135973,1.017708421,0.069067183,2475.436279,2523.861328,2499.425249,2500.191895,17.78421898,11080,16867,0,0,16,training
7440000,Assy_Conveyor,4/23/2019 3:42,0.90250057,1.096646547,1.002582005,1.017708421,0.069843904,2475.436279,2524.489502,2500.419723,2500.191895,17.518465,11096,16867,0,0,16,training
7500000,Assy_Conveyor,4/23/2019 3:43,0.90250057,1.096646547,0.998361239,1.017708421,0.071904204,2475.436279,2524.489502,2498.865876,2500.191895,17.57902755,11110,16867,0,0,14,training
7560000,Assy_Conveyor,4/23/2019 3:44,0.90250057,1.096646547,1.001803644,1.017708421,0.070676084,2475.436279,2524.489502,2499.68252,2500.191895,17.96158525,11125,16868,1,1,15,training
7620000,Assy_Conveyor,4/23/2019 3:45,0.900300086,1.096646547,1.002877523,1.017708421,0.069834557,2475.436279,2524.489502,2499.510304,2500.191895,18.01919464,11141,16868,0,0,16,training
7680000,Assy_Conveyor,4/23/2019 3:46,0.900300086,1.091097236,1.000383067,1.017708421,0.06884561,2476.0271,2524.489502,2500.369957,2500.191895,18.04805415,11158,16868,0,0,17,training
7740000,Assy_Conveyor,4/23/2019 3:47,0.900300086,1.091097236,1.004169005,1.017708421,0.07039973,2476.0271,2524.489502,2500.124055,2500.191895,17.73289439,11175,16868,0,0,17,training
7800000,Assy_Conveyor,4/23/2019 3:48,0.900300086,1.091097236,0.99884017,1.017708421,0.072095057,2476.0271,2524.489502,2499.966917,2500.191895,17.53860899,11192,16868,0,0,17,training
7860000,Assy_Conveyor,4/23/2019 3:49,0.900300086,1.091097236,0.997279874,1.017708421,0.071798974,2476.0271,2524.489502,2500.760178,2500.191895,17.64476052,11209,16868,0,0,17,training
7920000,Assy_Conveyor,4/23/2019 3:50,0.900300086,1.096646547,0.999369116,1.017708421,0.073825187,2475.436279,2524.489502,2500.158341,2500.191895,17.84146379,11227,16868,0,0,18,training
7980000,Assy_Conveyor,4/23/2019 3:51,0.900300086,1.096646547,1.000130753,1.017708421,0.073482571,2475.436279,2524.489502,2500.286604,2500.191895,17.71036654,11243,16868,0,0,16,training
8040000,Assy_Conveyor,4/23/2019 3:52,0.90250057,1.096646547,0.998103285,1.017708421,0.071807054,2475.436279,2524.489502,2499.00191,2500.191895,17.7650928,11259,16868,0,0,16,training
8100000,Assy_Conveyor,4/23/2019 3:53,0.90250057,1.096646547,0.997216167,1.017708421,0.069975768,2475.436279,2524.489502,2499.691616,2500.191895,17.79767924,11274,16868,0,0,15,training
8160000,Assy_Conveyor,4/23/2019 3:54,0.90250057,1.096646547,1.001904065,1.017708421,0.069931963,2475.436279,2524.489502,2499.988321,2500.191895,17.71123728,11288,16869,1,1,14,training
8220000,Assy_Conveyor,4/23/2019 3:55,0.90250057,1.096646547,1.003396195,1.017708421,0.068464119,2475.436279,2523.861328,2499.783434,2500.191895,17.82449313,11303,16869,0,0,15,training
8280000,Assy_Conveyor,4/23/2019 3:56,0.90250057,1.096646547,1.001915147,1.017708421,0.069142798,2475.436279,2523.861328,2499.820734,2500.191895,17.59697996,11319,16869,0,0,16,training
8340000,Assy_Conveyor,4/23/2019 3:57,0.90250057,1.096646547,1.000663568,0.987674475,0.069122405,2475.436279,2523.861328,2498.912914,2500.191895,17.61815161,11334,16870,1,1,14,training
